timestamp,Rice,Wheat,Sugar,Potato,Onion,Tomato
16-03-2009,1516.67,1225.0,2268.33,441.67,1200.0,655.1724138
17-03-2009,1587.5,1326.25,2251.25,578.0,1087.5,663.7931034
18-03-2009,1531.0,1326.0,2226.2,597.4,1080.0,672.4137931
19-03-2009,1600.0,1258.33,2201.67,500.0,875.0,681.0344828
20-03-2009,1600.0,1288.75,2225.0,493.75,1031.25,689.6551724
21-03-2009,1583.333333,1286.25,2222.5,549.9433333,1037.5,698.2758621
22-03-2009,1566.666667,1283.75,2220.0,606.1366667,1043.75,706.8965517
23-03-2009,1550.0,1281.25,2217.5,662.33,1050.0,715.5172414
24-03-2009,1540.0,1255.0,2214.0,655.0,1000.0,724.137931
25-03-2009,1545.83,1265.0,2179.17,669.17,912.5,732.7586207
26-03-2009,1540.0,1295.0,2222.0,595.0,955.0,741.3793103
27-03-2009,1600.0,1165.0,2240.0,525.0,650.0,750.0
28-03-2009,1580.556667,1191.666667,2218.89,565.2233333,750.0,758.6206897
29-03-2009,1561.113333,1218.333333,2197.78,605.4466667,850.0,767.2413793
30-03-2009,1541.67,1245.0,2176.67,645.67,950.0,775.862069
31-03-2009,1575.0,1165.0,2230.0,537.0,650.0,784.4827586
01-04-2009,1489.44,1265.0,2203.7,699.2,901.1,793.1034483
02-04-2009,1481.25,1245.0,2191.25,725.5,843.75,801.7241379
03-04-2009,1470.9375,1218.4375,2216.9375,693.375,911.5625,810.3448276
04-04-2009,1460.625,1191.875,2242.625,661.25,979.375,818.9655172
05-04-2009,1450.3125,1165.3125,2268.3125,629.125,1047.1875,827.5862069
06-04-2009,1440.0,1138.75,2294.0,597.0,1115.0,836.2068966
07-04-2009,1520.0,1247.375,2247.5,652.2,950.0,844.8275862
08-04-2009,1600.0,1356.0,2201.0,707.4,785.0,853.4482759
09-04-2009,1512.5,1270.0,2238.75,740.5,768.75,862.0689655
10-04-2009,1509.375,1274.5825,2247.395,748.7075,774.48,870.6896552
11-04-2009,1506.25,1279.165,2256.04,756.915,780.21,879.3103448
12-04-2009,1503.125,1283.7475,2264.685,765.1225,785.94,887.9310345
13-04-2009,1500.0,1288.33,2273.33,773.33,791.67,896.5517241
14-04-2009,1525.0,1273.33,2326.665,780.33,812.5,905.1724138
15-04-2009,1550.0,1258.33,2380.0,787.33,833.33,913.7931034
16-04-2009,1380.0,1133.75,2568.0,845.0,824.0,922.4137931
17-04-2009,1533.33,1158.33,2600.0,833.33,820.67,931.0344828
18-04-2009,1477.776667,1140.553333,2592.223333,853.33,798.4466667,939.6551724
19-04-2009,1422.223333,1122.776667,2584.446667,873.33,776.2233333,948.2758621
20-04-2009,1366.67,1105.0,2576.67,893.33,754.0,956.8965517
21-04-2009,1355.0,1081.67,2552.5,832.5,725.0,965.5172414
22-04-2009,1500.0,1095.0,2612.5,825.0,1062.5,974.137931
23-04-2009,1566.67,1128.33,2566.67,702.33,725.0,982.7586207
24-04-2009,1400.0,1123.75,2482.5,766.75,593.75,991.3793103
25-04-2009,1466.666667,1110.833333,2480.0,719.5,629.1666667,1000.0
26-04-2009,1533.333333,1097.916667,2477.5,672.25,664.5833333,1008.62069
27-04-2009,1600.0,1085.0,2475.0,625.0,700.0,1017.241379
28-04-2009,1516.67,1261.67,2393.33,865.0,800.0,1025.862069
29-04-2009,1550.0,1085.0,2430.0,625.0,687.0,1034.482759
30-04-2009,1516.67,1295.0,2393.33,891.67,775.0,1043.103448
01-05-2009,1616.67,1095.0,2533.33,808.33,791.67,1051.724138
02-05-2009,1556.113333,1106.25,2522.22,856.02,814.1133333,1060.344828
03-05-2009,1495.556667,1117.5,2511.11,903.71,836.5566667,1068.965517
04-05-2009,1435.0,1128.75,2500.0,951.4,859.0,1077.586207
05-05-2009,1582.5,1219.0,2446.0,757.4,695.0,1086.206897
06-05-2009,1437.5,1153.75,2482.5,719.25,726.25,1094.827586
07-05-2009,1522.5,1108.75,2466.25,770.5,766.25,1103.448276
08-05-2009,1607.5,1063.75,2450.0,821.75,806.25,1112.068966
09-05-2009,1536.875,1063.4375,2500.0,827.8125,790.5625,1120.689655
10-05-2009,1466.25,1063.125,2550.0,833.875,774.875,1129.310345
11-05-2009,1395.625,1062.8125,2600.0,839.9375,759.1875,1137.931034
12-05-2009,1325.0,1062.5,2650.0,846.0,743.5,1146.551724
13-05-2009,1558.75,1265.25,2469.12,862.88,699.38,1155.172414
14-05-2009,1470.83,1217.0,2546.67,907.5,761.67,1163.793103
15-05-2009,1566.67,1184.17,2541.67,848.33,730.0,1172.413793
16-05-2009,1555.556667,1220.556667,2533.336667,901.11,744.4433333,1181.034483
17-05-2009,1544.443333,1256.943333,2525.003333,953.89,758.8866667,1189.655172
18-05-2009,1533.33,1293.33,2516.67,1006.67,773.33,1198.275862
19-05-2009,1504.17,1284.17,2467.14,999.29,792.14,1206.896552
20-05-2009,1540.0,1346.25,2455.0,1044.38,814.12,1215.517241
21-05-2009,1496.43,1255.83,2502.86,898.86,762.14,1224.137931
22-05-2009,1460.0,1129.0,2564.0,772.4,663.4,1232.758621
23-05-2009,1462.223333,1133.776667,2603.776667,780.49,694.49,1241.37931
24-05-2009,1464.446667,1138.553333,2643.553333,788.58,725.58,1250.0
25-05-2009,1466.67,1143.33,2683.33,796.67,756.67,1258.62069
26-05-2009,1500.0,1233.75,2427.5,859.25,688.75,1267.241379
27-05-2009,1479.17,1334.0,2513.33,995.0,878.33,1275.862069
28-05-2009,1455.0,1133.75,2598.0,940.0,801.0,1284.482759
29-05-2009,1583.33,1115.0,2536.67,945.0,761.67,1293.103448
30-05-2009,1576.386667,1166.25,2536.113333,931.6666667,755.28,1301.724138
31-05-2009,1569.443333,1217.5,2535.556667,918.3333333,748.89,1310.344828
01-06-2009,1562.5,1268.75,2535.0,905.0,742.5,1318.965517
02-06-2009,1500.0,1120.0,2582.0,835.0,722.0,1327.586207
03-06-2009,1520.62,1284.38,2473.12,996.12,747.75,1336.206897
04-06-2009,1437.5,1080.0,2562.5,1140.0,900.0,1344.827586
05-06-2009,1675.0,1045.0,2612.5,1000.0,756.0,1353.448276
06-06-2009,1616.666667,1117.776667,2542.776667,1018.89,766.4433333,1362.068966
07-06-2009,1558.333333,1190.553333,2473.053333,1037.78,776.8866667,1370.689655
08-06-2009,1500.0,1263.33,2403.33,1056.67,787.33,1379.310345
09-06-2009,1575.0,1348.0,2410.0,1034.0,785.0,1387.931034
10-06-2009,1542.5,1348.12,2510.0,1050.88,805.38,1396.551724
11-06-2009,1576.0,1290.0,2464.0,935.0,855.0,1405.172414
12-06-2009,1550.0,1287.5,2425.0,1037.5,687.5,1413.793103
13-06-2009,1496.666667,1224.333333,2489.333333,982.0,680.0,1422.413793
14-06-2009,1443.333333,1161.166667,2553.666667,926.5,672.5,1431.034483
15-06-2009,1390.0,1098.0,2618.0,871.0,665.0,1439.655172
16-06-2009,1450.0,1090.0,2610.0,1181.0,912.5,1448.275862
17-06-2009,1480.71,1346.67,2551.43,1233.14,929.71,1456.896552
18-06-2009,1516.67,1156.67,2508.33,1029.0,683.33,1465.517241
19-06-2009,1483.33,1140.0,2523.33,1022.33,733.33,1474.137931
20-06-2009,1497.22,1204.166667,2503.886667,1058.553333,765.8866667,1482.758621
21-06-2009,1511.11,1268.333333,2484.443333,1094.776667,798.4433333,1491.37931
22-06-2009,1525.0,1332.5,2465.0,1131.0,831.0,1500.0
23-06-2009,1487.5,1278.75,2470.0,1200.0,843.75,1508.62069
24-06-2009,1487.5,1317.5,2504.38,1194.5,826.62,1517.241379
25-06-2009,1500.0,1076.67,2488.33,866.67,808.33,1525.862069
26-06-2009,1533.33,1315.0,2559.17,1100.0,804.17,1534.482759
27-06-2009,1537.22,1327.0,2541.113333,1098.333333,807.78,1543.103448
28-06-2009,1541.11,1339.0,2523.056667,1096.666667,811.39,1551.724138
29-06-2009,1545.0,1351.0,2505.0,1095.0,815.0,1560.344828
30-06-2009,1458.33,1261.67,2570.0,1140.0,906.67,1568.965517
01-07-2009,1455.0,1206.88,2589.0,1166.5,895.0,1577.586207
02-07-2009,1450.0,1070.0,2620.0,1232.5,981.0,1586.206897
03-07-2009,1466.67,1160.0,2546.67,1229.0,912.33,1594.827586
04-07-2009,1480.16,1220.556667,2535.636667,1242.943333,913.0533333,1603.448276
05-07-2009,1493.65,1281.113333,2524.603333,1256.886667,913.7766667,1612.068966
06-07-2009,1507.14,1341.67,2513.57,1270.83,914.5,1620.689655
07-07-2009,1483.33,1385.0,2541.67,1325.0,995.67,1629.310345
08-07-2009,1456.25,1352.0,2561.88,1333.71,1065.57,1637.931034
09-07-2009,1440.0,1292.5,2472.0,1195.0,849.4,1646.551724
10-07-2009,1466.67,1201.0,2578.33,1197.4,977.4,1655.172414
11-07-2009,1446.113333,1210.0,2575.553333,1198.266667,951.6,1663.793103
12-07-2009,1425.556667,1219.0,2572.776667,1199.133333,925.8,1672.413793
13-07-2009,1405.0,1228.0,2570.0,1200.0,900.0,1681.034483
14-07-2009,1525.0,1152.5,2545.0,1262.0,927.5,1689.655172
15-07-2009,1563.89,1350.0,2561.11,1259.78,979.33,1698.275862
16-07-2009,1325.0,1105.0,2565.0,1281.0,956.0,1706.896552
17-07-2009,1566.67,1079.0,2616.67,1143.67,935.33,1715.517241
18-07-2009,1494.446667,1103.5,2604.446667,1194.336667,955.9966667,1724.137931
19-07-2009,1422.223333,1128.0,2592.223333,1245.003333,976.6633333,1732.758621
20-07-2009,1350.0,1152.5,2580.0,1295.67,997.33,1741.37931
21-07-2009,1387.5,1151.67,2575.0,1175.0,903.75,1750.0
22-07-2009,1489.29,1320.0,2545.71,1296.14,942.43,1758.62069
23-07-2009,1550.0,1152.5,2583.33,1312.33,916.67,1767.241379
24-07-2009,1490.0,1451.25,2522.0,1327.4,910.0,1775.862069
25-07-2009,1496.666667,1341.833333,2541.333333,1294.933333,874.8,1784.482759
26-07-2009,1503.333333,1232.416667,2560.666667,1262.466667,839.6,1793.103448
27-07-2009,1510.0,1123.0,2580.0,1230.0,804.4,1801.724138
28-07-2009,1406.25,1277.14,2586.25,1189.38,855.88,1810.344828
29-07-2009,1461.11,1405.83,2568.89,1331.56,1064.33,1818.965517
30-07-2009,1400.0,1301.67,2537.5,1256.25,909.25,1827.586207
31-07-2009,1380.0,1230.0,2570.0,1215.0,985.4,1836.206897
01-08-2009,1403.333333,1268.0,2571.39,1219.723333,963.99,1844.827586
02-08-2009,1426.666667,1306.0,2572.78,1224.446667,942.58,1853.448276
03-08-2009,1450.0,1344.0,2574.17,1229.17,921.17,1862.068966
04-08-2009,1450.0,1345.0,2594.29,1275.0,996.71,1870.689655
05-08-2009,1418.75,1341.67,2678.75,1251.88,979.62,1879.310345
06-08-2009,1587.5,1130.0,2700.0,1037.5,723.5,1887.931034
07-08-2009,1612.5,1355.0,2525.0,1112.5,912.5,1896.551724
08-08-2009,1546.666667,1333.333333,2607.666667,1166.0,913.3333333,1905.172414
09-08-2009,1480.833333,1311.666667,2690.333333,1219.5,914.1666667,1913.793103
10-08-2009,1415.0,1290.0,2773.0,1273.0,915.0,1922.413793
11-08-2009,1587.5,1155.0,2850.0,1212.5,887.5,1931.034483
12-08-2009,1523.0,1307.5,2963.0,1237.8,843.4,1939.655172
13-08-2009,1537.5,1120.0,2970.0,1062.5,787.5,1948.275862
14-08-2009,1565.625,1117.5,2927.5,1078.125,809.375,1956.896552
15-08-2009,1593.75,1115.0,2885.0,1093.75,831.25,1965.517241
16-08-2009,1621.875,1112.5,2842.5,1109.375,853.125,1974.137931
17-08-2009,1650.0,1110.0,2800.0,1125.0,875.0,1982.758621
18-08-2009,1575.0,1130.0,2987.5,972.5,720.0,1991.37931
19-08-2009,1552.5,1301.67,3049.17,1264.29,1037.57,2000.0
20-08-2009,1650.0,1110.0,2825.0,1100.0,850.0,2004.761905
21-08-2009,1480.0,1365.0,2820.0,1269.0,828.0,2009.52381
22-08-2009,1467.223333,1306.39,2888.333333,1249.056667,881.1666667,2014.285714
23-08-2009,1454.446667,1247.78,2956.666667,1229.113333,934.3333333,2019.047619
24-08-2009,1441.67,1189.17,3025.0,1209.17,987.5,2023.809524
25-08-2009,1525.0,1523.0,2946.67,1347.83,914.5,2028.571429
26-08-2009,1598.57,1265.83,3100.71,1375.0,984.14,2033.333333
27-08-2009,1430.0,1418.75,2966.0,1368.0,985.0,2038.095238
28-08-2009,1570.0,1500.0,3010.0,1218.0,968.0,2042.857143
29-08-2009,1559.166667,1391.666667,3031.666667,1228.11,973.3333333,2047.619048
30-08-2009,1548.333333,1283.333333,3053.333333,1238.22,978.6666667,2052.380952
31-08-2009,1537.5,1175.0,3075.0,1248.33,984.0,2057.142857
01-09-2009,1520.0,1418.75,2968.0,1315.0,870.4,2061.904762
